TrueTau;EstTau;UncorrVar;CorrVar;Samp;Model
19058.6409665078;20330.323842318212;1649688.0342754493;793632.4251506785;665328.318913199;128304.10623747949
19192.473388616785;19294.80138061191;2770325.704651311;1766610.450425244;1666894.707339576;99715.74308566796
19014.750157874965;17414.974977058348;1841044.2450425597;1090934.6878864444;956656.7183390146;134277.96954742982
19134.465864468082;19180.438204596026;1906757.8616786278;1235765.9676478761;1125533.2938085445;110232.6738393316
19154.081057006406;20679.863371249798;2325716.8314448185;1297798.6973732829;1181578.735804722;116219.96156856092
19030.9204627736;18580.006854394567;1883109.0432251655;990376.7140607768;891769.0101855561;98607.70387522061
19026.732677895227;20419.0339898156;1953535.85292665;1090753.2375405328;956969.9226116639;133783.3149288688
19082.704505910835;19164.0714112446;2124763.4379719472;1284136.6690196763;1144837.3784838247;139299.2905358516
19279.24573420031;21107.941790017838;2417311.928612761;1298607.0345746519;1086238.6033945542;212368.43118009763
19100.941439714712;19906.608847437732;2189614.169885426;1297080.9098498614;1182746.4112093383;114334.49864052306
19127.59220804249;19860.14268215973;1974673.5536022778;1171016.7593849706;1024902.0104110298;146114.74897394096
19235.670691849864;19942.5663953777;2127527.0444723223;1278574.0916095749;1129416.9845439685;149157.1070656064
19289.829666626956;19310.65244252605;2163801.1711737835;1274443.1438378934;1153058.4395640618;121384.70427383156
19265.240534090815;18494.469627780767;2140750.039896994;1206804.0833884478;1059047.0803855956;147757.0030028522
19138.994707594087;19019.929081961836;1822501.5707304222;1075734.721988385;957700.206191014;118034.51579737104
19283.468387022545;19706.308565807827;1690886.8736224603;1057205.2394238238;968996.3720477202;88208.86737610353
19133.48831182645;19387.061228950537;2207272.4830655614;1230944.0976789992;1119305.004072031;111639.09360696818
19009.490027929645;17009.91324337211;1627774.1514079478;1023323.710543606;947294.5434854641;76029.1670581419
19176.597112798394;19940.28153495801;1864821.0304633975;1035767.8007183596;955857.2382471596;79910.56247120001
19408.706979435065;19690.536280306438;2214907.8290049583;1342756.5966898724;1239108.8741541011;103647.72253577132
19088.786491320276;19311.217981857906;1665730.7582731822;1067473.4642526451;986036.8539057324;81436.61034691264
19220.37388965018;19193.955739003068;2421382.83998772;1447908.3030529749;1317711.9074041997;130196.39564877516
19221.454529705603;18873.973879741134;2250320.3740211464;1475073.8682422063;1387086.4670374196;87987.40120478673
19298.435096694782;18247.775846233133;1871063.8086273768;1077621.2150067375;966391.2515678167;111229.96343892068
19223.131399683807;19173.24799910333;1658928.7665626723;883350.128356358;784188.9898116004;99161.13854475762
19170.191124891066;20418.75531104139;1457875.2997234878;800693.4881106633;686880.5640471962;113812.92406346707
19159.12119080448;18723.009449011966;1759154.461151604;904535.3798310222;779643.8341990997;124891.54563192255
19068.801722701814;20430.56936913247;1825757.831330379;1053232.753449392;947484.4937145347;105748.25973485736
19177.601863620417;18049.19278420059;1572092.412628054;920789.0936245342;835220.6744013132;85568.41922322102
19334.368863567033;20231.624837812713;2204824.861402567;1297998.789190302;1143391.2103479104;154607.5788423915
19205.32474736523;19147.602916673983;1864750.4788528597;1132416.5235154736;1049723.9011482673;82692.62236720626
19374.36906753211;20265.101766464886;2438682.470264872;1335962.1218283016;1148158.5895631912;187803.5322651104
19224.428081228914;17146.5442665447;1773860.4638427226;1184128.05074353;1095761.6647843525;88366.38595917751
19296.706295612603;19904.46300930676;1844473.768237627;957990.9566624288;835517.9666563692;122472.99000605964
19298.47981735251;18913.656403516135;2909133.3609348787;1946245.046209382;1821649.6479835077;124595.39822587417
19322.759558084505;20174.61556081707;2186017.1426720647;1275760.1593297152;1173140.70582296;102619.45350675518
19141.541725855303;18439.84385725459;1848529.8946726776;1205266.8564170355;1102163.4630785957;103103.39333843975
19105.780262720655;18949.625338062404;2071943.999774614;1066052.9198908077;970429.2903326943;95623.6295581134
19082.394413789825;18967.638715858848;1976067.2262744196;1351334.8668126205;1279995.0051810634;71339.86163155711
19043.54079692769;19371.626915614455;1624921.0461376065;922180.5958904799;837363.9232246717;84816.67266580812
19157.394320484524;19498.79327433027;1879135.8194428845;1016010.3590837199;921576.4308941598;94433.92818956007
19265.95316802868;21806.974752862763;2545535.7910416876;1576213.2902309268;1434603.3932581306;141609.89697279618
19204.175380622186;18939.169653409583;1841486.4632406149;1038663.3155956075;928811.9665946409;109851.34900096664
19370.767794561696;18417.196198413218;2135436.8309931858;1242089.0624998414;1108693.635509354;133395.42699048738
19246.222315060742;21626.5738016637;1874827.9525285913;824243.1492372483;642986.1401085854;181257.009128663
19293.947340364408;19053.471848158944;1699968.5960665555;900657.7090404519;789056.8072754525;111600.90176499938
19177.184482810313;18279.984299693726;2187351.267705596;1439023.784264096;1320678.5152538652;118345.2690102309
19322.459756935714;20335.75460179023;2233846.723125597;1305461.9015677106;1196306.5796399785;109155.32192773209
19111.465352246334;20312.956357368297;1454378.6943096216;785034.4702027586;647845.738760612;137188.73144214659
19143.20221078829;18137.989200134707;1967658.2404850211;1119378.5347430927;1039649.9511850248;79728.58355806791
19169.293437612472;19024.078455891427;2138910.8256478882;1403456.4289903785;1298590.1861617735;104866.242828605
19188.302780969945;19635.590006161707;1873072.2591127122;1114366.293448365;990878.1507971319;123488.14265123312
19067.602550099025;18997.08471371573;2051149.812403224;1286199.836964114;1184631.9482816951;101567.88868241897
19292.299372266225;20404.688020995924;2072258.263708836;1151971.7280152158;1023640.1708702941;128331.55714492174
18928.82946514805;19971.32196731743;2392354.2283735597;1600477.0936420355;1478905.598470958;121571.49517107755
19070.84712293997;17660.767960123325;1562386.7170359758;849455.6693963064;764026.5425924622;85429.12680384424
19293.248465294684;18624.27141083331;2178711.6667801095;1444347.7011414643;1352499.573425656;91848.12771580834
19222.822060126193;19446.74036526801;1505893.2453486454;753656.1902775737;670977.2845617257;82678.90571584797
19178.6264891002;21295.033487964018;2032780.5224504042;1190893.7822411526;1036860.2105528374;154033.57168831537
19215.074669008318;19209.83268508866;1709738.0247472983;813155.1293394726;709250.5114860546;103904.61785341799
19124.20651429137;19026.349979171475;1689045.0484518234;874792.4077797246;756070.2941363212;118722.1136434034
19308.13180006038;18710.647237498062;1762264.7047644844;1070934.2086532852;972181.9681922918;98752.24046099349
19388.018749355073;17807.925921190934;2883119.703802414;1965363.7645653258;1867617.5240664203;97746.24049890554
19231.40493243776;17912.603877169655;2165122.1556566535;1386208.2933855911;1299821.425544907;86386.86784068402
19134.033368628883;19215.941365134175;1444647.5712524974;673907.6997973411;576350.7216242593;97556.97817308188
19228.434711036516;20309.435125062006;1731883.81336915;937413.3134528322;807527.3697736762;129885.94367915601
19229.209695309295;19071.833540764426;1985942.074176371;1328974.0095687788;1250025.8332837843;78948.17628499446
19108.94454270307;18546.094723907074;1562873.0421294854;915293.3489251657;840162.0639301554;75131.28499501036
18937.78374716287;19494.791100036393;2210246.9539109506;1198713.0250069858;1048287.5150765112;150425.50993047468
19377.68398113093;19550.887072871694;2262776.358398477;1449860.8389946239;1332408.0291748927;117452.80981973116
19082.420151821934;20980.208998650796;1754441.2663019137;901363.5898884353;778409.5804046767;122954.0094837586
19204.937124381646;20717.792000369936;2337667.691109278;1357201.9629960652;1166704.0119167361;190497.951079329
19147.905398674746;17555.188685097524;1704982.9517954572;1034348.442255616;919429.6863534616;114918.75590215437
19220.612873793863;17686.474652123434;2075311.8668478352;1294414.8570902918;1206426.710034092;87988.14705619984
19286.746572006403;19580.421364365106;1889934.0300161708;1036910.9805203239;909002.00138657;127908.9791337538
19211.713767268222;18696.437447477663;2015859.1620497224;1226103.6059358711;1110786.436843837;115317.16909203422
19150.71518805804;17485.505119032976;1960129.6642048964;1088662.1614286955;1001653.9692106658;87008.19221802987
19154.18659735269;20402.634586129265;1795427.0949066766;912259.5020017005;795301.6184151764;116957.88358652405
19018.515039468522;19059.837230806526;1599909.1060387106;864280.8535844907;776326.8992482838;87953.9543362069
19167.95287706994;18853.747553533667;2120307.514525527;1065051.4078935962;884426.6726010263;180624.73529256997
19209.914560877813;19290.114858491987;2299780.2681241636;1458716.6707458058;1322202.6939858727;136513.97675993317
19093.902264647313;20042.93326466831;1489739.7786704018;780639.2318990804;665150.9630899357;115488.26880914473
19108.995841846023;18783.093258421195;1938738.6629390796;1184390.1516056093;1043038.509133325;141351.64247228438
19021.169219683263;19188.02961742671;1589963.7830946227;793478.4645797336;696702.5147444396;96775.94983529393
19091.943626280976;20475.52775612398;2092945.3348523173;1232531.9731622937;1132221.899290339;100310.07387195458
19087.90160396515;19528.804347727444;1964625.2253928836;1158301.2083501732;1057322.411283552;100978.79706662125
19355.07349791028;19304.44235806116;2095466.4091209422;1324122.721490389;1244578.8301272886;79543.89136310038
19112.11361429239;18787.934945007197;1504907.743703425;793828.3910568624;681693.9867511848;112134.40430567763
19117.859947734825;19724.88713563866;2089427.0808928576;1483036.9939678973;1406420.8787362468;76616.11523165042
19220.688901602363;19973.772249215977;2200547.6042909967;1332027.9818126147;1189337.1356854232;142690.84612719156
19043.007168736836;19210.127658116748;1807518.0935203256;1015086.653977639;920539.4213097657;94547.23266787338
19269.27492542235;19329.06601318473;2755254.320482239;1965923.5401057648;1878298.7270007883;87624.81310497643
19147.05691309655;18988.53831424656;2299148.4720272804;1378060.1545308467;1252295.605909184;125764.54862166266
19359.64338297288;21393.982826477368;2787888.978052493;1844289.8422910776;1753719.3452390232;90570.49705205439
19054.69480124122;18499.32246464795;1857542.1966025988;1169925.6404036786;1060515.0380195451;109410.6023841335
19080.72356401507;20375.5539838594;1702729.7697901106;857915.1861365649;753101.7938327079;104813.39230385702
