TrueTau;EstTau;UncorrVar;CorrVar;Samp;Model
19194.352565674188;19149.893144059446;1834097.1028923534;1141244.605548863;1091553.826867067;49690.778681796044
19079.21081741359;19878.1954701734;2182266.2607763405;1212949.1965904296;1161219.0270715016;51730.16951892804
19209.179353110023;18848.89993253725;1538735.9230924414;1015749.1623172519;980901.6625438774;34847.499773374526
19257.87515637936;19129.48156290182;1633736.915214369;847570.083768876;822104.5984754842;25465.48529339186
19187.739657883874;18256.687506244667;1986775.430054966;1236578.6779912012;1180972.502962474;55606.17502872716
19203.315643056052;19327.942926742984;1919169.0943988357;1099733.7243426628;1038658.7158395426;61075.00850312039
19293.335472211937;18848.009128530655;1747376.3378646506;1026323.8720778415;986385.6739290766;39938.1981487649
19246.36580728705;18789.74152774335;1811324.0160005346;1059172.605996308;981144.129888154;78028.47610815382
19176.36767514386;19234.096199693457;1837505.1357442564;890150.6769760898;840242.2424445231;49908.43453156669
19233.075511885756;19406.19716431723;2191341.9747814564;1391331.4819825578;1339573.2677915394;51758.21419101837
19071.007453580667;20674.13733815845;1846971.228953458;965203.2961543897;882827.1097619823;82376.1863924074
19407.95898776064;18914.468600825145;1614570.78963814;915985.7799235329;834965.3739024512;81020.40602108161
19248.836324422617;19778.02860833108;1862700.6092630704;1029671.5883355659;978761.3248264744;50910.263509091455
19309.00859169479;20129.849547651585;1871662.022979434;892236.4685170283;819152.5311957982;73083.93732123007
19062.183649445935;18826.03812787847;1558828.6529398877;899327.6467080372;846519.9371545885;52807.709553448716
19229.79067224108;18058.096749528544;1752554.0517898982;1039782.442299105;1005452.0160793259;34330.42621977907
19227.758438077948;18907.20917694758;1912600.1677115466;1102070.6201438433;1032082.3100695965;69988.31007424672
19200.31800086396;18738.671518753705;1545482.3233840978;841368.0533973927;763574.4773648578;77793.57603253494
19220.53228268647;20200.364164422826;2133157.8314742493;1285504.4221776086;1255669.5769895366;29834.84518807195
19174.064517524515;18812.898737691183;2086236.178408091;1157222.6552362582;1085589.162861871;71633.4923743871
19236.923062827922;21100.68561519333;2254339.8833769974;1031559.6647765492;949501.2242782421;82058.44049830711
19271.907601120223;20271.14901655037;2211972.2996106925;1280890.5189465997;1223702.081343251;57188.43760334863
19279.439997994406;18069.915202911896;1980699.9372263632;1167234.2304566933;1146956.8822183623;20277.348238331033
19340.46790139798;18762.697376215954;1699914.0400304163;1053658.0847013702;1032901.0261930921;20757.058508278104
19233.013797605247;19024.14995340038;1958053.223599632;1178493.9688631713;1141002.0614314878;37491.9074316835
19309.153526589602;16728.709482632144;1964397.865053723;1261867.2689460027;1211581.5951166116;50285.67382939113
19299.102846541242;20469.03809549717;1825885.4673221344;1030408.9293345273;991834.3000450407;38574.62928948668
19180.89636636484;20541.907428410927;2478912.0320501495;1406154.0387639876;1341022.786620536;65131.25214345171
19305.42165394011;19738.426640024587;2288057.433378207;1351192.2770179713;1290340.6619655113;60851.615052459994
19223.814996300513;19427.508465843177;2067642.5920216485;1106783.7898891564;1034592.6406569345;72191.14923222177
19381.0035408189;18261.13486587205;1664144.0037568628;1016966.7202851276;983513.9136168631;33452.80666826456
19338.08985536976;18474.99133147913;1794583.797596448;1145373.5778676614;1100350.4215967841;45023.156270877225
19279.61879149223;19296.49482021131;2167195.3812383097;1371933.3332190316;1294267.4684257216;77665.86479330994
19335.133586765394;19222.880071390773;2039444.4733338803;1207490.4804626144;1153046.6876663764;54443.79279623809
19417.695912194606;19514.872956094958;1843329.764084448;1023114.5365283714;976070.6049278433;47043.93160052807
19313.853273430894;20292.12849995038;2244354.5790653545;1534409.278659651;1514868.1600008141;19541.11865883693
19284.750348030186;18949.962625877866;2069555.932741897;1297924.390327066;1237399.7986183506;60524.59170871531
19180.95120919996;19117.676443439635;2135310.7212178926;1292012.72216272;1244534.6767126853;47478.045450034784
19390.01309657076;19610.15448500352;1948993.1385794121;1152831.7022931927;1106504.6568400809;46327.045453111874
19330.867217540657;20525.554861800792;1858538.7783077888;990499.1001268976;930388.8694794615;60110.23064743611
19096.158207404937;16917.903578475223;1631268.141898796;927600.5207510451;867224.8556416887;60375.6651093564
19467.796118806622;18372.292541309;1971465.6405669046;1166020.3448262168;1109055.5875926493;56964.757233567536
19269.33046027279;18080.491662675202;1902350.1912825566;1089063.6991710651;1050878.9968981189;38184.70227294625
19297.27541416457;18306.724631668072;1485343.733982801;751217.970782761;712634.5967750954;38583.37400766555
19298.16891977939;20230.07804524106;2151798.4650214;1288570.8800443166;1247094.1061051297;41476.77393918694
19121.75900976702;19035.96968469693;1616405.2825850046;702878.2268644812;678692.3029166065;24185.92394787469
19132.457758921446;21650.71927871248;1635101.9915663716;945309.6561145833;898960.560915351;46349.09519923222
19107.54809231356;19408.75412318256;2143189.3362692986;1004397.1223755832;967254.2697769703;37142.852598612895
19359.102849548657;20481.46263128052;1755045.7389223962;1007163.3405438625;964883.5081196233;42279.832424239255
19260.965713002344;18272.422544441088;1716006.970900416;884683.9138370584;865851.8480449555;18832.065792102832
19189.48188143998;19657.69376175987;1854366.167652599;976684.0982078995;945355.017175166;31329.081032733433
19333.058237130568;20869.12500847435;1601474.3965497776;809309.3106617215;772457.5869753337;36851.72368638776
19188.066008405647;18666.616704489006;1858376.0930801025;1106724.322234762;1045927.1360465642;60797.186188197695
19165.26573809089;19043.73153198399;1957234.9652822632;1183023.2320595197;1125306.1024354263;57717.12962409342
19165.60032188823;19777.43699487752;1684538.417591657;906734.52145797;820355.3328837916;86379.18857417838
19250.654946305094;21483.429962341994;2048528.223630312;968606.7446978474;921233.0834540247;47373.66124382266
19222.01265614681;19629.02847687188;2151285.206245175;1375264.9143310802;1365927.1382066933;9337.776124386815
19319.110838505876;17927.908690672968;1639851.4625470233;898521.459185583;836512.0046799853;62009.45450559771
19186.05903526909;18923.574395450458;2039668.4254482284;1177924.7903439102;1135305.357129659;42619.433214251185
19273.527038106356;19281.68573487914;2110607.4638407556;1332923.8397783537;1305926.4712742777;26997.368504076032
19381.699354664317;17079.658308032896;2112112.1378474217;1249450.754044016;1226655.8903066698;22794.86373734614
19239.75721209059;18887.431627936996;2183901.7507563955;1408616.4048247347;1366694.2657582946;41922.13906644005
19361.238231487274;19828.570404108166;2209482.003639229;1299860.25041209;1246966.3416468129;52893.90876527713
19229.31984521425;20316.38459532227;1909956.9954486925;1019972.4924954352;980087.510738281;39884.98175715422
19280.633859967686;20059.481283145826;2351830.790286458;1360658.7524611047;1369292.1411305042;-8633.388669399545
19214.16544735629;19717.264171892282;1417966.35060534;762255.8504198293;709765.664618085;52490.18580174423
19160.64067539742;18982.01968130835;1871839.0033346957;1033755.2264729048;1011609.5141507314;22145.712322173407
19271.138665956445;19734.805830195713;1885069.3896765262;1087166.0380720268;1032268.5369847341;54897.501087292796
19476.554566637406;19459.078738637734;2275860.7690065075;1334948.4490861984;1272976.4203368474;61972.028749350924
19192.662949253812;19613.139762349787;1940497.897514606;1064349.9438816854;1016321.183256381;48028.76062530442
19300.490533216976;18767.080647986993;1592360.231163265;854114.2215930644;815698.001532884;38416.22006018041
19135.448563101072;19519.78457877551;1996833.4535802223;1184055.0425741223;1148293.3208905535;35761.72168356879
19467.138073973827;19923.39113638598;1861224.2191691813;1226787.4203522403;1157453.666657298;69333.75369494222
19235.68159195246;21425.187251229512;1995220.9368714646;1118706.243819428;1068362.0385541564;50344.20526527148
19343.39131702487;17997.760477704855;2251101.253182797;1433041.6153761295;1401342.0750960272;31699.540280102286
19244.625976550717;19123.23151517656;2066125.7314711458;1399004.966532557;1360274.0757388014;38730.89079375565
19356.652039162916;19839.482865889622;1832975.599284933;1161961.0874297535;1114306.6916725645;47654.39575718902
19278.12606112486;18091.719346366805;1840592.8109244064;1239297.9799320127;1198442.589922372;40855.390009640716
19204.825116799944;18448.041225167777;2278101.8540126197;1200634.8609331797;1166685.0604328823;33949.80050029745
19184.952198520416;19989.419763593392;1735616.0542548017;826694.3797209153;788232.4517798941;38461.92794102128
19196.00789620516;19686.294759103173;1853200.014136466;969945.4976019318;945763.5368428669;24181.96075906488
19228.224929046148;17844.296306733875;1528880.2848445391;881360.0862983167;824562.2137356801;56797.87256263662
19123.796014876083;20484.666312134872;2133737.563394996;1277245.8567773872;1209492.5895403295;67753.26723705768
19023.788510552833;18804.08209120696;1945111.0986184417;1220686.1120665157;1164686.3563191881;55999.75574732758
19134.50011360684;19480.02915050128;2176753.178993478;1343216.0846376296;1281513.9075801626;61702.177057466935
19120.526606171585;18613.273778861072;2018443.4222224196;1347695.192770379;1297443.705455645;50251.48731473391
19177.66854116917;20188.37740311185;1826634.5583317464;1070115.4014264068;997531.0291422112;72584.37228419562
19254.94564192061;19355.900867355238;2200368.624007236;1412336.0230068446;1297417.3007220007;114918.72228484391
19289.00209762853;17642.55469980862;1902875.9326520762;1043907.3007591451;1029059.8816850029;14847.419074142119
19346.509849574937;20908.17398984456;1803334.1772800097;887487.5416288894;887449.6652415054;37.876387384021655
19106.522505713867;18990.164837136177;1877360.7359959043;1085870.231079389;1044034.2349128614;41835.99616652774
19256.958448112906;19258.26378822577;2181558.9045817554;1428601.1794216796;1355809.4354768842;72791.74394479534
19216.38656229594;17291.41974035887;1955850.791357036;1139822.3785793243;1091031.1442139023;48791.234365422046
19120.09833719726;19470.42978680902;2284448.1877356903;1486522.4446914555;1454482.7674131885;32039.677278266987
19299.108527131495;19691.594972858686;1933439.807977159;989858.2307826267;971522.2366180369;18335.994164589792
19241.583945236856;18386.85946063558;2337163.2492983053;1505417.9090717605;1442266.688384483;63151.22068727738
19178.004220375533;18400.433706097276;2133505.634420294;1420703.1320892076;1347045.4955078473;73657.63658136036
19385.178250947574;19221.657443721077;1852643.1085085308;956539.3013857118;902909.98389308;53629.31749263173
19482.728498798337;19772.629924882654;2155925.428770381;1081285.9591786757;1016988.3102675362;64297.64891113946
19226.130753912705;18815.0218520301;1882515.0312990274;1065245.536195538;996630.9516442303;68614.5845513076
19278.219724652332;18858.14029774992;1939286.9286199212;1127039.7046599425;1081466.4605192938;45573.24414064875
19359.427452696553;17975.161745443012;1826860.1525571465;1113331.0389431024;1064194.9472072204;49136.091735881986
18973.12001562331;20400.289645759272;2368033.8940458316;1488165.7817963623;1442583.1628246391;45582.61897172313
19129.460409860745;18725.660961767062;1955057.511556459;1142632.1105007145;1056585.3721580447;86046.73834266979
19159.15180344524;17484.344225886896;1525778.354389194;657986.7898692521;630009.2869372687;27977.502931983443
19294.904455454063;18551.652620895456;1731174.5043495;1185016.6730179947;1129788.287902246;55228.38511574874
19025.50365559542;19528.17895898117;2219283.9177256306;1352397.069499138;1311509.0459142653;40888.02358487272
19111.217181110253;18583.897966597786;2044004.014294669;1235792.205075516;1196085.3311428481;39706.873932667775
19195.433975687203;19525.07457043028;2165027.916490325;936451.4359926883;876928.0782517862;59523.35774090211
19127.891115212773;20346.897043937177;2357161.113609073;1496278.8899345896;1408806.13145594;87472.75847864966
19271.676884086875;17874.01066768348;2098985.197833951;1175003.6070821718;1125960.7953237256;49042.811758446274
19107.273682013667;19184.497686309605;1924925.8966559186;1112219.9645942617;1060385.178794416;51834.78579984582
