TrueTau;EstTau;UncorrVar;CorrVar;Samp;Model
19031.530553195404;18430.447916125737;555231.369746618;503001.6468430257;467318.6001556544;35683.04668737127
19037.320399219974;17303.37884915444;544488.5161980948;478043.2602366493;450070.48585409595;27972.774382553354
19048.751717532323;19995.4603174272;552343.9781259192;497887.661000369;455792.6431189342;42095.01788143482
19002.70128257623;21343.608487183148;532134.9117129084;478143.72662695555;432089.4895932616;46054.237033693935
19053.524958877388;17052.497142197666;533318.7940162576;486124.58803906426;442675.5415009004;43449.04653816385
19007.414373803196;19463.15839374267;632784.400427563;577307.8602432747;535972.2856236959;41335.57461957878
19037.122524708553;19958.278961883123;654293.2624227152;588286.4187780706;544784.2310762712;43502.18770179944
19084.04681778402;18530.026230152533;565957.2305456304;505197.48540449905;470379.9031218334;34817.58228266565
19054.45072290915;19210.645034571124;668083.8373596757;600126.970528537;559589.5162575647;40537.45427097229
18980.764440803552;20411.178098031705;643746.6586876271;588951.8784638102;545341.7401333911;43610.13833041908
19010.18718873651;19263.884478260497;626941.4544860246;575342.2734240592;521170.538109618;54171.735314441146
19028.02624214897;19053.10300910157;562014.5180087021;511243.81239621126;470361.7794532828;40882.03294292843
18986.137753142903;20421.461384844737;582192.9826377161;522310.32502987736;469108.08202595706;53202.2430039203
19013.765025762867;18725.087804208473;529537.9217236997;475452.4560722874;426265.85342939006;49186.60264289734
19030.69558298317;17901.36853488797;686472.7436098147;638224.6557795112;600649.1317798102;37575.52399970102
18949.219871500554;18602.29607724541;615062.3018340386;555696.8262654628;518007.7460779366;37689.08018752618
19087.98248298652;18935.968317777522;547384.2338999198;492375.4248723033;446866.0008615159;45509.42401078745
19039.02196909087;17079.399365011446;522374.61892016325;479781.06615982344;445142.1012518188;34638.96490800462
18989.827563445913;19504.916888421507;604947.1418160769;556200.1998854079;515272.79179388046;40927.40809152741
19021.58862794266;18305.50626066638;655887.4610927601;606218.0177598684;563474.381871318;42743.63588855043
19017.112809195598;19072.341137880914;670662.8406204141;622672.7535323978;585437.9120717463;37234.841460651485
19075.964730629355;18608.878174046036;600112.9789083058;546116.7635313366;511577.8321032437;34538.93142809288
19042.2893219712;19852.03147315877;695716.9205864579;617523.6854477166;566958.3127792774;50565.37266843917
19034.387315262353;19863.83759590908;631412.2628853008;575856.0480840442;537558.2408947153;38297.807189328945
18940.115753788203;18704.455959646322;708489.7979785971;658601.3225965706;616236.6171186917;42364.70547787892
19042.02833361469;20761.808000476532;516292.2503487634;469022.16244712647;421437.34221657994;47584.820230546524
19008.222446933727;18484.76244659157;607191.4523126896;547374.5446021823;499599.37609103543;47775.16851114691
19017.688473257247;19844.497361346705;631222.4093188024;570528.4825506546;531389.6485509378;39138.83399971679
19014.638957503834;18659.505279795398;699304.3472372886;642954.4707379189;593719.3652314115;49235.10550650733
19042.841563435915;19123.760703175765;736499.9182833141;683376.5836269908;642034.253650003;41342.32997698779
19022.483425138886;18393.62380897662;497886.89388031897;453026.040896619;416722.1900374299;36303.85085918906
19006.140694921174;19216.84943651124;673330.9240312797;605810.5209165949;567966.7148100587;37843.80610653618
19037.379319056265;19091.76398865911;663679.4525393521;607822.1397865749;574636.6129961276;33185.5267904473
19026.360729022967;19686.98709809259;657330.3093957084;603999.1458732102;565458.7255961291;38540.42027708108
19018.83185875334;18550.411462835204;665825.9818675201;610660.0061917747;558251.9095713967;52408.096620378084
19036.064762661157;18665.323440909393;694224.8012749302;629201.0980601372;592083.0403424124;37118.05771772482
18954.934961764506;18402.373647317945;752470.0667603094;711759.8460341521;670478.141513718;41281.70452043414
18992.74139126276;20062.893320094627;691067.4744785246;636717.8422222667;575585.0721784024;61132.770043864264
19058.68446081539;19311.8170708995;669667.6158654095;604683.0793256249;561973.2075696383;42709.87175598659
19087.50967412949;19904.97264380317;729125.6227297704;682359.4046171394;634235.2981772666;48124.10643987276
19021.11968387572;19874.1241743013;657689.0600709426;594291.3866064998;544600.7418514191;49690.64475508069
19004.923479331443;18643.779245051155;713673.1767946357;669380.1276828159;617021.4225065663;52358.70517624961
19026.696264984737;19274.92077438827;611748.6130432929;561017.6857854046;522639.4603710002;38378.22541440441
19024.4419634681;18962.197763221142;587892.524839068;525448.0260875515;477966.1270043396;47481.8990832119
19071.115337256204;19338.378847132262;620105.7829059825;563064.8609948569;528031.595180366;35033.265814490966
19015.04780519528;20071.84806640015;605262.310095459;547534.6501635578;493703.8294902236;53830.82067333418
19018.487735430677;19584.364500719592;548871.6152023979;485453.4085901014;438161.39805281674;47292.01053728466
19026.05177559502;18827.202813766195;601855.2283282873;553590.7725795206;504134.5042338845;49456.26834563608
18999.556411200203;19674.683001023554;530217.0079964689;472235.2529599342;420552.04372221156;51683.20923772262
19064.75529594831;17905.563480109973;583308.1239654234;533242.8028677107;491734.5867966809;41508.216071029834
18980.78591936692;18857.971027190735;577028.1087944113;519060.14303697704;480523.4760839384;38536.66695303866
19069.250774546857;19031.254115326818;548255.7849155808;480593.8169456773;442443.64820512926;38150.16874054802
19085.673448849717;19089.24463376136;639791.5280875608;589989.3755401021;545619.2682332734;44370.10730682872
18996.77848344119;18425.239470542456;558704.1883503821;503504.51621021715;459450.12559241726;44054.39061779989
19027.46149600321;18225.707668772335;567156.1232167312;516603.59513155784;472140.3280796641;44463.26705189375
18982.546912465845;18199.070413181125;568691.0192333314;507277.70486596745;474473.78190301865;32803.922962948796
19088.16049632932;19264.260774955746;706036.9346155388;647340.0266980025;606766.8273297918;40573.199368210626
19014.059361690986;17847.969702658487;532206.9841941624;484336.0111447623;446014.15350681625;38321.85763794603
19011.79371888863;20403.229653690254;516197.23135881254;464847.69333058916;420425.3093587087;44422.38397188048
19049.89728595758;17920.011755856118;651435.430163546;602721.2212497354;561904.7250618255;40816.49618790997
18997.448789678674;19370.304718163614;648379.261974977;604549.4092550537;560462.7307544892;44086.678500564536
19043.71388914363;19320.73806978919;680909.4915119383;611268.2680379405;580728.5302336115;30539.737804329023
19011.819337879348;18619.81562167814;657122.1525774879;604164.3300993588;556019.5303521917;48144.799747167155
19090.93533397639;19739.36607018395;666531.7191006581;604888.0045793722;552123.3770782547;52764.62750111753
19029.955952844673;19106.364453214417;451486.66153104627;406283.45841076697;373342.8064677111;32940.651943055855
18971.7740239374;19821.08254562479;622908.561482956;558442.437664009;501677.2240376808;56765.213626328274
19031.565383686466;18768.134267486017;687469.7815643515;644387.421921092;612358.4576174511;32028.96430364088
19031.82665330014;17676.022742521684;627476.3752815141;575562.4771469526;516196.14654011023;59366.33060684241
19009.384530695046;18897.151480925433;684888.8652049196;627764.975018583;590588.668508596;37176.306509986985
19039.245170150407;19504.797403603872;569075.1171202231;509640.8868651882;464099.0915509544;45541.79531423381
18971.692733819822;19255.7097275983;635199.2479307288;584133.5834709636;533895.3716107428;50238.21186022088
19047.790814088297;19949.187677221576;682308.365976125;610427.317479551;566411.3991252816;44015.91835426935
19080.397839032285;18564.77574375056;592031.9900507162;545127.3030510867;508102.1263208655;37025.176730221254
19061.28539641698;20517.88176058077;588789.1029923821;528511.6117503387;476552.11123580654;51959.50051453221
18984.727457540528;18549.70992148504;622444.4566522107;579574.0736727022;543439.6979308671;36134.3757418351
19075.984126736734;19607.38210110255;576837.3050176405;527387.5763619491;482089.00451597536;45298.57184597367
19006.956506799943;19240.785457621103;608150.3115691755;549889.3250741749;516706.825616983;33182.49945719191
19046.79653667686;18861.71747286158;640692.4499021957;578658.6566420065;538399.4235360605;40259.23310594598
18952.746811789075;19885.03000808982;588119.3228962142;535013.0475365939;489424.6770345472;45588.37050204672
18962.29518153156;19094.764054957042;622201.0392995329;562226.5677532452;498325.56201588234;63901.005737362895
18962.742369749918;19116.520419653993;564544.9418157456;516806.8339440907;471818.043685033;44988.790259057714
19060.066099225056;18461.480686567345;734972.6091030054;692950.6842521941;647359.1759226943;45591.50832949986
19053.688029973702;18999.514089474513;683933.3766074339;626262.0769341704;582658.0025106147;43604.07442355575
19020.286772406052;18175.563048995547;582549.4254636277;540821.5479150265;496836.1003764379;43985.44753858872
19008.16619327127;18027.480106976174;519823.52681580186;477130.4225936565;429227.04131233424;47903.381281322276
19000.974419888727;18868.897893802867;596086.7960497378;543098.6603478617;492102.61713179655;50996.043216065154
19048.014229472876;18817.67749296092;660389.7444502788;605578.7993331607;563184.0259231955;42394.773409965215
