RealID;Mean;Var
1;16773.24866617409;4844387.969824444
2;16451.19198264899;3684383.4739168715
3;16594.996272403972;3744599.147297019
4;16522.62888885298;3170567.8080898295
5;16577.477656699008;3031947.0761960056
6;16652.049152730975;2517155.9533312195
7;16842.80876531399;2705298.3603003165
8;16919.434138646335;2908261.3210269283
9;16849.36453252391;2941160.5988967475
10;16836.185011414786;3089685.8173848623
11;16819.4788307187;2986286.048887704
12;16689.111900855638;3123592.407695123
13;16663.59113469877;3069278.3807174843
14;16726.56484368315;2983670.019936825
15;16660.630601745743;2899814.4841688266
16;16624.94540280845;2586707.674984376
17;16643.388411442113;2617295.117079986
18;16612.816214673716;2650547.945606072
19;16671.69548107205;2675979.2142296974
20;16767.83725201325;2912488.105335171
21;16729.3974062829;2939340.2963524526
22;16704.144454792127;2943040.35575548
23;16598.80806966354;3072793.215958872
24;16569.525739727753;3073006.858147979
25;16514.180968841218;3125638.629064897
26;16470.711595271565;3022280.5597705925
27;16484.8900054237;2981162.740219963
28;16544.27221756732;2983546.246229351
29;16563.58618876605;2929067.7159426073
30;16569.007411417468;2877003.118340535
31;16593.181796532255;2895591.696422254
32;16580.74886518684;2891372.063833032
33;16593.864417066925;2888490.3793731653
34;16600.229939378085;2832866.026385422
35;16598.197765768204;2803802.896082028
36;16624.586849276424;2836197.642520778
37;16593.614806749032;2863032.5595173514
38;16604.684790348758;2848381.1787722628
39;16596.304923059033;2861219.2490149965
40;16568.76432575391;2857337.695261881
41;16581.908294635286;2856505.0828104606
42;16565.774273592106;2839573.4651880795
43;16571.420414356562;2793090.1530293003
44;16627.215953210998;2931035.5853704503
45;16607.063839069862;2877397.1699434966
46;16621.061711754654;2802777.4550453005
47;16613.165134953422;2811520.6555105615
48;16618.683679466856;2785006.380426554
49;16643.38402992055;2839691.8653026735
50;16639.954349197742;2816277.67447646
51;16634.195868487812;2823409.4095156444
52;16620.271865457602;2843646.169478228
53;16629.085782971888;2844908.542294973
54;16630.054890978416;2822060.9464843585
55;16610.96697691625;2847407.073255325
56;16614.668060404623;2805926.9888160196
57;16597.335543834022;2823309.5549008637
58;16598.842927739177;2797361.1357491063
59;16593.57140404851;2755670.5000708783
60;16637.8361492167;2853634.0123982294
61;16624.67850815949;2848053.1553790076
62;16655.22644029276;2927750.5034982366
63;16660.868668358453;2929624.2583702416
64;16649.389318411682;2919698.2649857877
65;16648.655790434615;2889071.5525947833
66;16612.196882662472;2954839.832529311
67;16622.194642003164;2922231.813069395
68;16635.986481803833;2901635.115726739
69;16643.551050202917;2904786.9287593975
70;16636.796020487986;2916907.2223084075
