TrueTau1;EstTau1;UncorrVar1;CorrVar1;Samp1;Model1;TrueTau2;EstTau2;UncorrVar2;CorrVar2;Samp2;Model2;TrueTau3;EstTau3;UncorrVar3;CorrVar3;Samp3;Model3;TrueTau4;EstTau4;UncorrVar4;CorrVar4;Samp4;Model4;TrueTau5;EstTau5;UncorrVar5;CorrVar5;Samp5;Model5;TrueTau6;EstTau6;UncorrVar6;CorrVar6;Samp6;Model6;TrueTau7;EstTau7;UncorrVar7;CorrVar7;Samp7;Model7
88614.22569082357;82921.66455956074;4.255630957214261E7;4.255073259324897E7;4.251399551097561E7;36737.08227336407;7216.5292667677995;6646.621839930384;278156.0098943442;276983.7714621416;263585.59775796236;13398.173704179237;4643.792525940947;4285.22664565768;177980.1723881126;130733.66274495785;107696.89187539839;23036.770869559463;1184.3792191357832;1006.767004782813;81772.76707918415;36024.39646345055;8640.12473376534;27384.271729685206;883.7622948703354;879.8647936049099;25073.402683546105;21505.55415988905;7127.757786523897;14377.796373365152;404.9237507471909;370.9295667038896;27764.845993114643;14659.480215778962;1271.5796730106201;13387.900542768342;99.67147607357253;103.83382918109574;1217.1714945568606;598.374125232574;133.8999907212073;464.4741345113667
88577.95345042809;86170.774526456;4.109428426079007E7;4.107241664946761E7;4.103123437001039E7;41182.279457218945;7254.540908852533;7046.416357661784;308567.07542836684;284672.81239973864;267479.54950111225;17193.262898626388;4718.356447495063;4298.2563323502;155413.80545948542;139638.40930375014;107823.52449193782;31814.884811812342;1157.4683106325033;1448.4302171115069;69765.5513255989;58923.26716800334;12634.250534295174;46289.01663370816;887.9299078882003;922.4956493612237;27760.183041320335;26728.362083103548;6005.395558454608;20722.96652464894;396.5204049272068;273.7251058630413;24757.631615299895;15786.8781576059;563.8578086606632;15223.020348945236;94.26583790955056;103.50905297581065;900.3141866935835;578.760520232788;181.501617246495;397.2589029862931
88541.36984577388;100073.78055861227;3.8735017972468056E7;3.872839340405428E7;3.868171512338791E7;46678.28066636622;7210.102874034519;8189.187171817678;304040.7784543057;288811.00462258386;267598.11798620154;21212.886636382318;4690.011362070197;5417.5100888301295;172390.1763122106;165206.36497969236;111850.92775152631;53355.43722816605;1137.4411871578486;1199.675695198367;61346.262359003485;45206.991795916656;6603.90351688291;38603.08827903375;868.2370280308554;911.8224979024332;23680.19695874038;18577.348164659314;6516.331280377684;12061.01688428163;420.5546359590746;549.8536207495378;23368.220041964938;14480.223452102302;2529.9669342684474;11950.256517833854;93.85866081651382;110.32526913721672;810.7527447175216;584.938368878125;88.68055440586683;496.25781447225813
88586.71211532014;97499.24301712326;4.32147002276389E7;4.3173418791915014E7;4.312089604956748E7;52522.74234753102;7248.786186192913;8062.112588817245;318032.09912862675;314359.5579500254;292584.71775763866;21774.840192386764;4644.315942505969;5040.1682609314275;186496.30392719212;165553.28946479398;107918.30079563995;57634.988669154016;1213.90008540905;1733.1103609206668;103256.15381643325;89497.40677839176;16307.708267488122;73189.69851090363;886.4130555662471;864.9631117771418;34677.831722691066;23341.12671290733;6187.087299651195;17154.039413256134;405.9238231154831;298.6350980342604;22418.755327488085;14750.94741711836;785.3084794213723;13965.638937696987;98.23327959616736;125.23575715373714;852.6502554176188;632.8642193575522;153.26793736890207;479.5962819886501
88561.77906521797;96008.8880140084;4.5806713986425556E7;4.577516941476411E7;4.5727599042081684E7;47570.37268242985;7206.170440439418;7615.6526447461565;327768.199282067;315343.19178539515;295772.4512901319;19570.74049526325;4654.678447836637;5218.109277681944;180984.98945783306;174414.63414803176;136506.55470178035;37908.07944625142;1178.7705190189736;989.5002923865011;54392.51917181369;23276.652934512986;5962.112514160337;17314.54042035265;868.848202355953;810.9770701919177;17145.478428857194;15356.915804145403;6188.178623582673;9168.73718056273;406.9879540019324;519.1950036805799;28444.570146380287;11784.689766378386;2675.3449087236686;9109.344857654716;96.88531722591277;77.87100080521975;452.11638345102745;304.9530662476321;60.89781567948907;244.055250568143
88573.74628957434;88586.72658531863;4.4321314973265626E7;4.431683727682666E7;4.427851011464395E7;38327.162182711065;7243.803575447935;7261.737410307529;335140.4302842602;315350.5588472957;299713.4146629729;15637.144184322795;4706.624467616562;4462.558013076856;181624.99692995232;134572.49029963775;105769.05914868545;28803.431150952296;1162.0939362254737;1485.9374073866295;95590.37872746482;63592.11679953584;14967.87146651153;48624.245333024315;867.607501970574;891.2729874392871;31492.466815332416;26786.528831480107;7284.49759249909;19502.031238981017;412.2054354771487;288.6096648972281;20464.320621841827;13728.22130888151;788.8994144754266;12939.321894406083;95.2722341582169;133.3593375075188;1355.3757770813213;820.8857158082171;204.65678728535033;616.2289285228668
88564.64624197007;91158.16042745602;4.548497379362248E7;4.544512002450162E7;4.5406065445257396E7;39054.57924422622;7208.833822838302;7557.542374130738;337881.322078805;328350.93742229923;311015.0369016157;17335.900520683557;4677.698385310088;4620.258758830842;192177.7150272441;169758.8059446235;113691.09003160917;56067.71591301434;1155.422314159539;1790.8650721966005;116387.62638141577;93242.68761362736;18970.1547588766;74272.53285475077;867.6691733769187;1020.4032032377313;53118.571741675805;48234.476006715544;9128.415963206044;39106.0600435095;409.71887972017305;30.393238186552185;30015.169868332803;25233.0797331093;10.601302251516486;25222.478430857784;98.32507027160382;95.62210167900761;670.3392411363533;422.9091132120849;101.5822015405696;321.3269116715153
88596.06947730038;90094.81538016979;3.9697047333658494E7;3.9687716212154604E7;3.964758481246866E7;40131.39968594164;7194.97087450072;7531.215326879818;300273.1254621352;298251.7731843435;280964.19718629913;17287.57599804434;4659.529232991645;5018.966718311058;163944.69867896935;157670.64450991788;124032.32288635145;33638.321623566444;1169.1136445150842;1064.0736988212864;38716.286693266506;31536.733421291545;6815.565131821346;24721.1682894702;872.9561162117072;776.788857468078;15030.965663090417;13928.253267476131;5123.143560591874;8805.109706884257;396.1822287692362;552.581687836826;12149.282039501573;10593.895513486455;2764.719749091772;7829.175764394684;97.18965201303952;118.80436444255996;704.9017061391459;609.0944245036425;121.07375718772774;488.0206673159147
88562.06569812093;93824.811161844;3.700566568714491E7;3.6989835022581495E7;3.694870337397693E7;41131.64860456437;7206.747587736734;7592.238600275923;279783.3559889689;264390.81945505296;246452.2904686506;17938.52898640232;4659.091715416715;4690.379063179218;290383.06416692527;146557.87021257143;97288.63940984572;49269.23080272571;1173.890479977996;1408.2356063760262;102789.98758079551;62290.098859606485;9372.591385823982;52917.507473782505;881.9828481866447;925.7160608959769;38001.11660131826;21119.560555011598;5306.7685935963145;15812.791961415283;399.9399843309815;462.5879264496279;65868.53562491144;14231.996462047422;1417.3260452371712;12814.670416810251;91.84255982437695;105.31994337508677;1536.871147393;476.5507151127413;105.75612357386593;370.79459153887535
88593.4532030148;95617.88176325016;4.0449110204855114E7;4.044420504432343E7;4.039771117695488E7;46493.86736854911;7234.8237747130615;7791.57611849991;284683.95140513167;276704.7495905605;258484.95446118753;18219.79512937297;4669.909154545297;4847.597596632845;153065.88521146638;140112.8528938709;91232.57668899774;48880.27620487318;1202.410661279394;1174.0842058055453;62634.35384722956;44288.46428856104;7875.353730916395;36413.11055764464;878.3712534763669;1110.763863942005;35576.5141826487;27124.85036118247;9664.87857523594;17459.97178594653;391.74439807796495;547.2997763777294;24180.878288605614;16948.356638574653;2450.376837103344;14497.979801471309;92.38830733407723;111.83067574178386;816.0250624326186;621.9126229884605;144.31335531235592;477.59926767610455
