TrueTau;EstTau;UncorrVar;CorrVar;Samp;Model
19004.79685362198;19765.91213611055;1368966.677144262;29634.251794425072;699.8959590606391;28934.355835364433
19120.29739403202;18954.58751726183;1375158.3554003837;67378.05121428959;571.3664362636337;66806.68477802596
19078.523163392383;18918.219735392453;1553179.9422489174;110578.0098571622;880.704887199041;109697.30496996315
19151.05623836708;18812.367939733882;1762002.3956245552;81220.7150362785;947.8396409225243;80272.87539535598
19162.09745568962;19306.707917912623;1433076.4262359282;20867.021113307797;635.8646760401316;20231.156437267666
19380.13982324234;20409.812099108178;1567323.8504882366;121656.23404395359;704.1161634491291;120952.11788050446
19237.00336111827;18868.398914315618;1253638.154959607;-12178.388010573748;625.4478142167791;-12803.835824790527
19118.881963781343;17994.021506250316;1316436.9548548502;157199.03291108785;563.429183101267;156635.60372798657
19130.221727438555;19088.71949290519;1238210.654244308;59576.942364204355;602.3906488732027;58974.55171533115
19005.59145898504;19550.359539685538;1636473.9090881257;51970.0826048062;960.4250791222148;51009.657525683986
19015.142449657542;20615.95563592249;1295494.1616761503;106990.55604756824;576.4328163877653;106414.12323118048
18967.93772963146;18608.586848508778;1164937.8358150343;40234.89288555592;325.07693429948995;39909.81595125643
19246.996446880523;18042.664806232864;1403697.126530459;88627.43013745482;741.2698999677668;87886.16023748706
19289.761057478452;18357.69912415061;1402037.2486425673;83011.47406976837;598.6198581943027;82412.85421157407
19242.94719584507;18970.099185235133;1279708.6111060828;33290.14132978505;571.5366221573786;32718.604707627674
19218.649597338303;18819.25087400999;1331263.7149274943;55313.67315471376;790.846256586432;54522.82689812733
19344.559990023656;19163.270343519194;1721427.312095824;83897.33896716891;1175.7807044167712;82721.55826275214
19218.095611819343;18181.245304507233;1497674.3148842244;117240.75194028183;492.625019057421;116748.12692122441
19274.982339841732;20125.822866686136;1353368.6155512403;106253.2629363515;679.9193186742777;105573.34361767722
19169.58371812691;18873.227268939754;1701911.8692832547;135212.96310133993;768.7328291860758;134444.23027215386
19091.608655000586;18888.470383177126;1365249.273252396;43466.852343342296;499.4199913753255;42967.43235196697
19163.82475767064;20614.379652855998;1720926.2792889457;127485.48117065162;766.8005043703597;126718.68066628126
19242.05368822335;19018.6184629065;1600850.502031684;55081.4756255009;817.8000759559218;54263.675549544976
19197.068728029455;18635.686829185146;1362500.8078466405;81099.90423243676;558.299539418862;80541.6046930179
19246.092108095334;19017.399513281758;1413184.413173026;83288.4424666792;839.4976643523551;82448.94480232685
18920.46556562246;18757.028420200073;1705979.952763436;91947.50893755359;1220.9353757793724;90726.57356177422
19243.635820618445;18177.940691115135;1477671.0258610633;86296.77121750452;661.6997222495265;85635.07149525499
19250.876553052498;18673.735364334647;1430232.3093504943;48540.1140140098;619.2604804202856;47920.853533589514
19034.58058650723;19413.81941965621;1778809.6422448005;140817.4488207816;694.2249532930437;140123.22386748856
19100.83084729705;20190.540324852296;1505558.5543709388;29488.528849403694;466.3992789557378;29022.129570447956
19202.13315017972;18355.555572500925;1583054.861462298;73706.51172545622;703.4713226419408;73003.04040281428
19321.586536999966;17665.83904749628;1434907.7927291295;58937.72970630748;419.94447685540945;58517.78522945207
19332.256133157392;20288.97848684613;1767809.927938358;136192.2432975678;875.4519089520618;135316.79138861573
19142.0765106811;18309.342054692912;1618256.0015614238;90715.19977190661;679.1534300828498;90036.04634182376
19192.773935577803;19970.569818836986;1656138.3152126758;125992.3159749569;769.3022151555051;125223.0137598014
19112.820581901626;19393.230973553615;1498357.0900644746;119548.64271653333;525.8762637067703;119022.76645282656
19249.902098727394;19437.66117019515;1244251.2521497956;51048.64285906733;540.1588555705093;50508.48400349682
19094.453611877183;20205.465145485956;1747733.7528902842;149699.55449246668;668.4464413867681;149031.1080510799
19321.30960942545;19268.963445637222;1559619.856326351;106517.35301109511;697.5329701924056;105819.8200409027
19340.258336804563;18911.987539376096;1504559.6091283313;109893.23470872079;678.2413244601048;109214.99338426068
19188.19585009321;19762.265771300023;1210652.7464937472;73943.58829082991;500.3680055565201;73443.22028527339
19194.008536763897;19918.31665141078;1665994.918289078;119888.75659425132;787.7648162370897;119100.99177801423
19266.53060848617;19327.536281047083;1270552.2538357154;93890.61265512995;653.4287766960624;93237.18387843389
19079.145103479386;19586.613257101213;1412880.8877856312;101523.68186429044;765.7198318143492;100757.96203247609
19199.127377888588;19003.789856551215;1703174.0982349208;84716.05057660167;913.9676952184236;83802.08288138325
19134.285093516297;18792.091722570305;1344833.534775763;84776.414480505;615.8581610155088;84160.5563194895
19107.08827595628;20681.77535712523;1787877.4074063948;135192.27324480625;944.7033403546375;134247.5699044516
18986.180886763275;18977.602586887737;1353339.9466667827;33318.44675005964;605.2024596778501;32713.244290381786
19042.608349544;19696.889169483784;1505211.8675186494;87745.09452626048;672.9337863645924;87072.16073989589
19216.93016579391;19049.290955282522;1527167.2524108961;24537.736244152038;671.0938339053828;23866.642410246655
19188.15059419837;19949.508326976196;1608626.875309891;72520.74061400251;706.586169886461;71814.15444411605
19409.257840346643;18829.620090140088;1493172.6692583458;115470.60299026892;742.5274455283798;114728.07554474054
19223.59464333701;19003.030305909313;1508738.7070476692;111599.25810534813;605.8641983766865;110993.39390697144
19075.934620428525;19764.23458840237;1561393.4606600213;103147.64873737717;522.0943403551646;102625.554397022
