TrueTau;EstTau;UncorrVar;CorrVar;Samp;Model
19051.511715549084;18338.97733114546;967123.4960279962;664169.9074353714;571275.9702518629;92893.93718350853
19150.98467507121;18483.325991927664;1094679.6633086863;683259.914431359;576661.0558380801;106598.85859327891
19096.944430095467;19749.13024357863;969472.4517173931;615175.0464802324;509744.45303735015;105430.59344288218
19197.23557958311;19425.55995302744;1193728.7543412177;803099.9993080114;665195.1427020258;137904.85660598555
19112.78789117992;18493.85876800705;1013643.3106727775;679945.892984465;579025.7027193806;100920.19026508438
19222.97981815661;18715.478883164327;1018787.8043531387;716207.5625177366;636381.1193772841;79826.4431404525
19015.176589490395;19524.818662717047;1110608.966972053;704104.8499444509;570842.3626893791;133262.48725507176
19061.681928989743;19036.515679254477;950723.4121096907;562141.4562158966;453146.7648213219;108994.69139457471
19377.610008553645;19324.558348041297;1104108.0992861956;805180.1684052388;730054.987496088;75125.18090915075
19011.3588352884;18288.088047567802;832013.3050972945;479054.6586825396;389830.8974430446;89223.76123949501
19220.249283951394;19652.883149428162;1156036.8161145882;631783.5369983554;487644.11049950623;144139.42649884918
19237.440750751277;19219.370063854334;1408333.5482954034;978762.4440171607;848050.3945244462;130712.04949271446
19003.151680334937;18627.424364535895;795639.8189686446;533430.5275398644;463254.2520401644;70176.27549969999
19174.899910286775;19485.33283427657;925877.6831711115;555704.3014019922;437602.9850846254;118101.31631736679
19137.91660132875;18381.807961574676;857578.4220732069;559821.1532608019;474996.082395108;84825.07086569397
19154.163902975637;21119.782982429562;1176885.440935587;755998.1978255381;631662.9395868944;124335.25823864376
19102.83721102321;19295.43067851455;1292880.2494203756;773340.80789714;637809.2672183875;135531.5406787526
19070.009749363853;20377.332859868377;930932.7480939403;651230.4857427969;568953.8466477242;82276.63909507275
19118.098214398044;19323.137159459653;1043562.5053134977;603561.6447868441;477848.9412213443;125712.70356549986
19169.50145729403;18702.99277275317;1075001.0056225194;677129.5904051483;576131.6577862293;100997.93261891906
19246.68338927244;18829.391020403727;1104012.7039410598;690461.022900205;584096.2154657484;106364.80743445654
19070.98608230763;18166.86852807148;1072072.612205964;637625.0353678698;507825.6280763119;129799.40729155787
19346.310046908937;19195.875868551713;1203118.7403110932;728880.6281961311;584143.078033967;144737.55016216415
18968.468174421017;19014.44828251697;1084297.8849153477;662002.6276044938;535027.7455602768;126974.88204421697
19178.175561569824;19189.180354692515;1029006.1013902749;608306.748209421;492274.4008785459;116032.34733087523
19072.88985969146;18097.3929500509;1026806.9285772372;654818.938307504;555391.8400259938;99427.09828151029
19054.4684635978;19799.6826154178;971493.043030264;623019.7335131087;517453.14332890435;105566.5901842044
19111.592493555512;20553.317363905287;1034448.0008365596;697201.9372782949;591645.2215454984;105556.71573279658
19165.763729650145;19455.177251905756;1177883.4352511785;729505.5019270049;555768.4443003462;173737.0576266587
19093.403340781628;18593.838284899837;1033030.9374987703;653907.6434029312;525335.9073690731;128571.73603385803
19228.342870740562;20005.504058607545;1319615.5666074671;826335.9951532927;649699.7441614654;176636.25099182723
19106.397318028063;20551.58913156892;1015898.2253838764;579623.3851367882;435280.0092766198;144343.37586016837
19240.592823035262;20040.275124268577;1053292.3665410038;544100.0167806062;390322.1660774248;153777.85070318147
19036.186651017204;19203.515983624853;956674.2878330443;637161.0772662541;532498.5841005106;104662.49316574354
19321.600748017318;20228.472190645753;910039.4025640695;530423.6200004946;444550.8571898667;85872.76281062793
19258.385895374548;20145.670382795022;1254984.8147317357;804865.8173397236;650357.2696768539;154508.54766286968
19110.591051010742;18428.7644754323;924014.6246493047;595126.3708460066;499124.09056001774;96002.28028598882
19126.698601375876;19304.85498636448;1090334.7945993165;762353.6781278672;675605.8335198537;86747.84460801352
19232.099048428427;19593.24549558932;1283866.1446467882;965204.7515026855;866263.3878540042;98941.36364868132
19242.220826138393;19973.802873709763;1007716.926442705;611465.2752822222;487380.9562675111;124084.31901471107
19165.903658314703;18204.180586859482;1128491.4805578708;707294.6997377516;590406.0624122573;116888.63732549432
19168.82055513857;19222.64648763584;1101004.8221516318;636410.5698739617;517444.9420217469;118965.62785221485
19112.461696447837;20204.094371089755;1080301.4824663028;658580.7510147253;550966.435949814;107614.31506491126
19231.49062452429;19799.425320495036;1035184.4928273263;631905.2803239778;503017.9014007014;128887.37892327644
18978.06725273681;18847.115112812167;1200272.3264920565;764523.3910887266;623732.6758478343;140790.71524089226
19322.336567919505;18689.929400928966;921320.3831008049;581204.3061760133;483569.0721387495;97635.23403726378
19206.746996042722;18624.46727329661;1030114.2984444234;626019.5649703066;503753.4615108447;122266.10345946194
19203.262712281252;18557.450952830062;940108.6035116182;603121.5981474724;526583.5639759992;76538.03417147312
19066.970609286385;19530.193754588578;1216205.099932245;733216.9923170079;595621.2540543545;137595.73826265335
18992.82121872649;17673.858210038466;723048.7306134417;464728.46019428433;391704.0511647545;73024.40902952984
19265.51867709077;19536.514202419316;1126995.0100438292;658720.3284211312;547523.1370911107;111197.19133002055
18975.273467572202;18580.524214551184;1324501.5783151204;813242.2792760943;687714.4909243671;125527.78835172718
19232.586622407653;18997.76108646615;915446.4917962473;657854.232327016;576510.2948984227;81343.93742859329
19150.18258529579;19557.103111291253;1112839.0078234868;671916.0263062814;532578.5165550662;139337.50975121523
19179.90366663237;19614.0575806688;1366413.4333292628;891709.2269129789;758595.2270530914;133113.99985988752
19232.4685567994;19867.364861351456;1237601.6215487015;792166.1577797893;665070.5591631802;127095.59861660912
19057.885798433246;19131.60163526411;973962.6764044645;588097.2271874819;470302.9995848086;117794.22760267335
19156.101320290123;18981.808806861238;1058578.2816027848;664663.3453516199;537967.7606770722;126695.58467454766
19123.934092241103;18744.282206184012;1085698.0846766839;728050.2576906172;632249.2304549437;95801.02723567351
19133.601106261027;19205.656619901398;1133806.6137649862;678209.9965786653;552185.0841052904;126024.91247337498
19028.769815275602;19943.16834712601;924393.8170320624;556538.3477838072;454531.48963775404;102006.85814605316
19007.084867873775;20723.655105196245;1238472.5112141764;788817.8319584101;641279.1155926376;147538.71636577253
19068.584070427714;18651.025982353458;853475.0479567662;547864.7581537248;466708.05776382564;81156.7003898992
19146.903724293265;18592.626060728882;1020289.3500211136;625381.6795219365;499321.10915298114;126060.57036895538
19056.606034292716;18949.64954383013;1068403.7168290117;603797.5571847034;479724.2612811735;124073.29590352997
19120.0888088947;18971.717291837973;1080117.6528777187;696336.281963572;565929.673858225;130406.60810534703
19208.996365659084;19826.058312752943;934668.3693846579;541947.222762551;415961.06931314943;125986.15344940161
19217.62809274079;19992.17801012826;1035577.7948031334;619418.5659783696;503131.1125922685;116287.45338610106
19196.95569550085;18745.664953358428;1153696.5562485773;733429.0486751966;618126.7687141653;115302.27996103128
19104.27919822164;18561.53411495192;1049677.197086015;701929.1812552123;594757.5129888153;107171.66826639697
19078.003741934375;18006.9037029472;1025760.8365133543;582235.4021741668;457074.3895074669;125161.01266669983
19271.12003287438;20119.557659008315;982827.3312782394;472708.80046972213;362411.8781329583;110296.92233676382
19056.378800389502;18605.52687097887;1000770.2901786934;551239.878268152;422508.9111999704;128730.9670681816
19191.782793043873;17227.571221269794;1040205.2527368892;614789.6173863314;500010.20838615333;114779.4090001781
19008.134570400765;19727.821276133334;999384.0886350552;615113.4124319211;512618.4451513235;102494.96728059754
19233.64430894051;18418.249902300362;817705.7061243199;504495.63699561206;436705.1990825569;67790.43791305518
19147.241844923494;19136.63820563276;1000972.0242873188;691933.1222390004;614540.9234808986;77392.19875810179
19167.151953599358;17943.66530778251;864626.2958381183;479815.41306425794;385185.9482982935;94629.46476596443
18938.02685186851;17895.76194521911;1211615.8635409782;786501.5037891297;664489.9742050281;122011.52958410152
19243.69959599733;18099.978026653887;1041011.9776382057;715555.7770852868;625150.37912486;90405.39796042675
19012.282562400884;20054.477096050592;866299.3629551925;566910.5957042278;487332.5847563824;79578.01094784541
