TrueTau;EstTau;UncorrVar;CorrVar;Samp;Model
18992.16982960167;19124.171629068354;1181201.1538691365;745137.1559606078;698601.123612098;46536.03234850976
19049.340312666336;19309.913381205948;911649.3749839083;541184.328078329;510598.9883720514;30585.33970627759
18797.52871759294;19691.089271977413;930589.8582728188;496932.2908959656;453633.6914510021;43298.5994449635
19009.092184131034;19166.948072435833;1039808.8509136657;638513.992173001;578239.7597517079;60274.232421293156
19018.86179581161;18634.530195553816;991532.7067968961;593581.7640835192;544346.0116810868;49235.75240243238
19082.53877090718;18726.8328258695;905679.1353636613;494723.4350640223;455091.5074552911;39631.9276087312
19020.845546029588;19774.8531299156;1103614.703397091;744620.2458991084;690147.4756043734;54472.770294734975
18952.574287446245;18391.13917827642;792061.8841716223;493086.16650600865;459931.8581116688;33154.30839433987
18847.822725973158;20134.500930728052;917803.6573243353;599932.9556264007;545572.8881286767;54360.06749772397
19037.457374159098;19570.060423499912;1022360.3741061764;608516.8924907583;575854.8050216564;32662.087469101883
19043.505400612336;19907.006207050585;977960.119409962;475914.15140032454;410582.3905370707;65331.76086325385
18919.238014661812;20228.784036760768;962840.125509775;568266.0690229873;507180.1455242923;61085.9234986949
19042.458542758282;19128.422872965653;1003018.6635695981;606643.0107611987;563865.8286653359;42777.18209586281
18986.498859910094;19851.33289728943;882506.7043861895;513228.4760504732;455680.0649939834;57548.4110564898
18923.493398212908;18396.527174222796;924284.5709101276;572600.7369591163;527655.0579818047;44945.67897731159
18976.782749594204;18947.31900035445;875240.3784855338;603300.0114330201;545245.9997975153;58054.01163550478
18917.246344501527;18471.485443292077;1012856.5013282232;563948.0260143974;521948.66808831436;41999.35792608303
18967.56022726873;18151.38624924929;906820.893839778;505783.8316693239;444752.67645317706;61031.15521614684
18983.008015118856;18916.286461677806;978319.9011922656;557599.8925096957;486549.98113872716;71049.91137096856
19052.616907692554;19561.181023368772;827320.6304483732;441096.74581772985;372938.5981338393;68158.14768389054
18922.3446596838;19914.949944862117;995690.0830577537;625730.286227949;588169.8368608011;37560.44936714787
19138.991157990466;19088.46896038365;1017772.7624628561;661870.2038679811;589611.8873378504;72258.31653013069
