TrueTau;EstTau;UncorrVar;CorrVar;Samp;Model
19020.021211663265;21941.461284159872;2004715.674179296;1722484.9928647978;1687454.220266819;35030.77259797882
19050.262330570135;18099.52939721583;4400104.115466463;4145995.167902184;4101319.431820028;44675.73608215619
19057.77970698034;20158.457121356045;3812997.5200972515;3539452.1386229345;3494896.121161077;44556.01746185729
18917.703991730028;17403.123818867607;3323972.6033015475;3084794.745124189;3048278.473849754;36516.271274435334
19010.05898250416;19243.6176334371;4452932.220581597;4166437.981520064;4129101.2101724884;37336.77134757582
19024.797808008057;19048.8536781842;1968633.2223124474;1669009.4311663427;1644710.3822509693;24299.048915373394
19033.14908170855;21242.80376190184;2104189.080357823;1780027.2291232375;1731168.29913344;48858.92998979753
18967.37810140738;18524.142883792065;3752734.682012494;3499233.6221012487;3453762.802767668;45470.81933358079
18973.738571998834;20001.199629929175;1762756.354702456;1517794.9745993982;1482179.8945441125;35615.08005528571
19049.401191888373;18602.95324811584;3776753.124342543;3516759.057282646;3472953.650454655;43805.40682799136
19084.75201861827;18428.703659852068;2825883.1879329826;2574503.86839624;2532184.7993435035;42319.069052736275
19020.78496611881;19956.110854561764;6321021.482108167;6087386.791320068;6038976.621768337;48410.16955173109
19021.418527355538;17478.870477675282;4205535.591598747;3976555.8874021657;3939187.9927568045;37367.89464536123
19009.613436718064;20304.65208543008;3171889.6268531433;2828404.5366715766;2780090.7764957654;48313.76017581113
19107.50849952762;19479.230443019824;1745541.9537727258;1475285.5808241193;1441702.257156388;33583.32366773137
19009.942282786124;19990.61730035707;1866165.6935615784;1524121.0169335308;1477796.8290850203;46324.18784851045
18990.869463520496;19081.551234432212;4335388.237721122;4089917.8082644655;4057155.8312205235;32761.977043942083
18960.48673964935;15900.373114445876;3346304.051048208;3134428.1104899803;3095023.3878116827;39404.722678297665
18979.68944094224;17993.651173143666;3471168.0188423363;3141910.231975201;3097729.264438175;44180.96753702592
19072.25325013721;17695.281129220264;4064188.05911655;3839621.233824281;3797302.008989578;42319.22483470291
19064.708236669383;18561.13901522171;3155448.347342468;2837363.741984055;2805382.7191937086;31981.022790346295
18993.70129298279;20670.96558433143;4724367.608084314;4443045.031064836;4407742.666973157;35302.364091679454
19040.18144979892;17822.439738091718;3605899.179451972;3289287.60273137;3250152.994252018;39134.60847935174
19040.32770213493;18501.740997505338;2145356.543801399;1843533.5141887548;1822647.2834391827;20886.23074957216
19012.279699094866;20400.674093823633;3156979.16127094;2892215.324250163;2853014.1786881434;39201.145562019665
19038.146989146077;18713.751199453207;1697220.6512792427;1438653.9387197932;1387241.3473481848;51412.59137160843
