RealID;Mean;Var
1;18437.530100439384;1343159.7743970947
2;18285.36277987151;1068495.438724446
3;18311.260992546944;1180019.3619331457
4;18534.955181006;1374141.0420800445
5;18460.53213534363;1358062.2182641136
6;18448.980381115052;1338677.6430494222
7;18446.266843267564;1308429.173619729
8;18387.131238562;1277206.4316155352
9;18460.90468230763;1316477.239546781
10;18417.919207528867;1267530.8886194187
11;18393.642763720476;1261009.416783168
12;18398.333751416718;1266126.84763928
13;18427.216787250127;1252743.110388964
14;18324.83898801553;1378661.6496615256
15;18336.06862200863;1363939.9826957164
16;18393.35464586098;1402166.2127349277
17;18352.40254476438;1412679.35951512
18;18378.87675353836;1428414.3456263747
19;18364.017804248157;1428752.846501796
20;18346.662300900836;1408334.1318983184
21;18373.304252419126;1413748.6090462147
22;18376.569278710012;1408345.6754979577
23;18385.14705092657;1409880.9352285697
24;18410.544451912945;1433737.8994379293
25;18419.481375010255;1423602.613361931
26;18446.68920068003;1438246.95159961
27;18454.62699305555;1428742.4211405313
28;18479.887060399367;1444954.6571296596
29;18471.72797135086;1422840.5032793628
30;18472.615409156286;1395168.1462733469
31;18468.670928963023;1395443.1887376232
32;18424.253376726043;1448189.1140055405
33;18432.09632157605;1440719.0802147256
34;18464.393928210568;1484949.6913980076
35;18492.599764707724;1505078.5943171573
36;18504.435405287568;1503618.068597856
37;18477.559561032198;1501352.3577729606
38;18492.320508443972;1482217.1605426406
39;18497.11726231771;1491903.772738015
40;18520.165606121544;1516995.6409161082
41;18517.849922672165;1501231.448376208
42;18527.095895142236;1496803.2214219053
43;18510.19305152532;1505336.3141545213
44;18510.795954835583;1498732.7710682962
45;18488.986514643177;1501574.0041447496
46;18485.56202003634;1481322.9512295376
47;18471.836570776493;1483645.3323644286
48;18463.040924118985;1476765.815467065
49;18469.221222759024;1474408.3745307347
50;18491.33378573095;1499835.0087806643
51;18487.681006601844;1493263.498475831
52;18482.95069681082;1475914.645002499
53;18484.63306447661;1470421.3719299284
54;18505.106435530895;1493807.5172462682
55;18497.139333176965;1493991.921150876
56;18488.146613446796;1489543.9278604146
57;18502.487819394646;1497812.0474513015
58;18514.28581004104;1503715.3307887078
59;18501.706306305132;1509616.7323334254
60;18502.29055460907;1500598.7113746097
61;18496.161130719818;1488660.975155211
62;18483.683508276066;1483437.7025106687
63;18489.706863204934;1475878.2500698324
64;18484.020770139134;1474069.1549318884
65;18494.16001226779;1480148.2576006835
66;18503.138412722717;1471142.9155828112
67;18494.573806655328;1460966.50773711
68;18497.29721642071;1461398.3165852376
69;18486.6781560394;1461039.4493502688
70;18487.57362652438;1451599.4363731192
71;18501.479688512998;1464749.3200948515
72;18512.65665519283;1469356.161609692
73;18518.548617321925;1463114.5843701223
74;18499.61590944479;1487728.2427224955
75;18485.85334582115;1496611.1603689764
76;18485.10216624936;1488868.7323627386
77;18474.04357134718;1493945.2342096919
78;18467.77966153588;1494230.6530364882
79;18475.714685682935;1495899.3232373581
80;18489.58935162095;1510726.9462867635
81;18500.579098700608;1511971.1367347643
82;18505.492150716007;1514382.3366968918
83;18491.481090826066;1525138.6643810028
84;18502.926994645397;1535227.884991257
85;18507.347267652927;1527943.7019731933
86;18509.316682872122;1524436.9858938074
87;18510.285917211575;1521859.6373564014
88;18516.85456548866;1528578.6960346226
89;18506.59012852964;1535515.0102629794
90;18498.91890896307;1531064.5655178702
91;18506.260225334216;1531128.741387504
92;18506.954081478412;1520245.0708233225
93;18525.76735554588;1552138.2534632494
94;18533.48565237949;1555377.5379676202
95;18529.4943910315;1557115.603436875
96;18528.86685011305;1551328.0464569137
97;18541.28718951345;1568849.6253046433
98;18535.966260843194;1566955.9175601287
99;18539.582679412306;1564474.988994193
100;18532.142456458078;1561275.9547589496
101;18533.334080517216;1556164.735582381
102;18537.15803557436;1554913.9062167567
103;18537.6460706807;1554913.5576735912
104;18544.786655738175;1560966.5461328444
105;18548.658391522782;1559116.548208578
106;18540.5353959504;1554652.6784753664
107;18542.375596365528;1552445.9969423849
108;18538.456286022367;1548689.1541344922
109;18541.308447649288;1551447.849875611
110;18549.648451473295;1559849.6123084566
111;18557.22610377388;1563596.3998436495
112;18553.975188395758;1564646.1169244065
113;18549.43295558989;1559589.066377098
114;18545.845203362507;1560009.5750873412
115;18547.56528114832;1558088.4733115914
116;18539.800567249764;1564840.80628666
117;18550.845228482754;1577955.267258489
118;18551.92341159706;1578247.4714342512
119;18542.456983994765;1580732.9555835729
120;18540.999998652303;1580586.6497608083
121;18543.203697688383;1580652.80217394
122;18551.701081210416;1587753.0496986532
123;18548.552676183743;1585856.4758696866
124;18545.25889428557;1581838.1158158502
125;18538.146452339537;1589768.5147915592
126;18536.614188070063;1586768.223312478
127;18541.253273054394;1590480.54947067
128;18541.223917932173;1584268.9107018001
129;18542.17714164915;1584084.9032098756
130;18536.084620373036;1587390.2213631724
131;18535.585696724906;1578759.0874074786
132;18533.26296883894;1571365.6341933988
133;18538.55020548678;1572982.6707026127
134;18541.761536476457;1573953.8044189024
135;18547.833775290364;1573398.8356733583
136;18545.464019155268;1570945.301137326
137;18549.53256261002;1570630.5209841954
138;18553.210034929034;1565941.573383166
139;18554.468924161065;1557659.34112235
140;18552.32951632316;1554038.6318387794
141;18553.816964480917;1554923.1007094858
142;18553.12826858242;1551519.1741947585
143;18558.14400056517;1555919.7308092734
144;18562.831097675527;1557766.6258149876
145;18565.809198924224;1556518.857973654
146;18568.33502094828;1554679.1544482745
147;18567.566152973464;1551730.6629628546
148;18566.47725276986;1546937.5105641105
149;18571.52589743103;1546804.2597961102
150;18572.92655891189;1545216.2340356717
151;18567.725518894735;1546386.2351051772
152;18564.68935209596;1541712.7402725562
153;18573.11259626148;1551858.9409877348
154;18578.012710975872;1551155.4683120847
155;18582.668764093;1554154.8050947136
156;18585.254300472596;1551286.9365488407
157;18588.02894529104;1546689.7668071024
158;18584.002411949295;1547715.4577924176
159;18590.202437792952;1554181.8583907424
160;18587.091201142084;1554342.9771123542
