VegPotID;SubModuleID;EffectID
1;1;12
1;1;42
1;1;50
1;1;31
1;2;14
1;2;12
1;2;31
1;2;45
1;3;14
1;3;31
1;3;47
1;3;38
1;4;14
1;4;47
1;4;31
1;5;47
2;1;14
2;1;31
2;2;14
2;2;10
2;2;11
2;2;31
2;2;45
2;3;14
2;3;31
2;3;47
2;3;37
2;4;14
2;4;47
2;4;31
2;5;14
2;5;45
3;1;14
3;1;10
3;1;17
3;1;43
3;1;3
3;1;34
3;1;31
3;2;14
3;2;12
3;2;11
3;2;31
3;2;45
3;2;49
3;2;3
3;3;14
3;3;31
3;3;47
3;3;38
3;4;14
3;4;47
3;4;51
3;4;31
3;5;14
3;5;47
3;5;35
3;5;3
4;1;14
4;1;12
4;1;18
4;1;43
4;1;32
4;1;34
4;1;31
4;2;14
4;2;12
4;2;11
4;2;31
4;2;45
4;2;49
4;2;3
4;2;41
4;3;14
4;3;31
4;3;47
4;3;38
4;3;51
4;3;41
4;4;14
4;4;47
4;4;51
4;4;31
4;5;14
4;5;47
4;5;3
5;1;14
5;1;10
5;1;17
5;1;44
5;1;41
5;1;3
5;1;31
5;2;14
5;2;10
5;2;11
5;2;31
5;2;45
5;3;14
5;3;31
5;3;45
5;3;37
5;4;14
5;4;47
5;4;31
5;5;45
6;1;14
6;1;12
6;1;17
6;1;32
6;1;43
6;1;3
6;1;31
6;2;14
6;2;10
6;2;11
6;2;31
6;2;45
6;2;49
6;2;3
6;3;14
6;3;31
6;3;47
6;3;38
6;4;14
6;4;47
6;4;31
6;5;14
7;1;14
7;1;10
7;1;18
7;1;32
7;1;43
7;1;3
7;1;34
7;1;31
7;2;14
7;2;12
7;2;11
7;2;31
7;2;45
7;2;49
7;2;3
7;3;14
7;3;31
7;3;47
7;3;38
7;4;14
7;4;47
7;4;31
7;5;14
7;5;45
8;1;14
8;1;31
8;2;14
8;2;12
8;2;11
8;2;31
8;2;45
8;3;14
8;3;31
8;3;45
8;3;38
8;4;14
8;4;51
8;4;31
8;5;14
8;5;47
9;1;14
9;1;10
9;1;18
9;1;32
9;1;43
9;1;41
9;1;31
9;2;14
9;2;12
9;2;31
9;2;45
9;2;49
9;2;3
9;3;14
9;3;31
9;3;45
9;3;38
9;3;50
9;4;14
9;4;31
9;5;45
10;1;12
10;1;18
10;1;31
10;1;44
10;1;42
10;1;3
10;1;2
10;1;34
10;2;14
10;2;12
10;2;11
10;2;31
10;2;45
10;2;49
10;2;3
10;2;41
10;3;14
10;3;31
10;3;47
10;3;38
10;3;51
10;4;14
10;4;47
10;4;51
10;4;31
10;5;14
10;5;45
11;1;14
11;1;12
11;1;17
11;1;31
11;1;32
11;1;13
11;1;44
11;1;3
11;1;34
11;2;14
11;2;12
11;2;11
11;2;31
11;2;45
11;2;49
11;2;41
11;2;3
11;3;14
11;3;31
11;3;47
11;3;38
11;3;51
11;4;14
11;4;47
11;4;51
11;4;31
11;5;14
11;5;47
12;1;14
12;1;12
12;1;17
12;1;33
12;1;44
12;1;3
12;1;31
12;2;14
12;2;12
12;2;11
12;2;31
12;2;45
12;2;49
12;2;3
12;2;41
12;3;14
12;3;31
12;3;48
12;3;38
12;3;51
12;4;14
12;4;45
12;4;51
12;4;31
12;5;14
12;5;47
13;1;14
13;1;10
13;1;18
13;1;31
13;1;33
13;1;44
13;1;3
13;1;34
13;2;14
13;2;12
13;2;11
13;2;31
13;2;45
13;2;49
13;2;3
13;3;14
13;3;31
13;3;47
13;3;38
13;3;51
13;4;14
13;4;47
13;4;51
13;4;31
